date,location,crop,price_per_kg,temperature_c,rainfall_mm,market_arrivals_kg,festival_flag,demand_kg
2023-01-01,Delhi,Maize,21.9,16.3,0.0,2398,0,1770
2023-01-02,Delhi,Maize,22.3,16.2,1.4,2469,0,1816
2023-01-03,Delhi,Maize,22.0,16.0,0.7,2494,0,1848
2023-01-04,Delhi,Maize,22.3,16.3,0.0,2545,0,1889
2023-01-05,Delhi,Maize,22.6,16.4,1.0,2598,0,1941
2023-01-06,Delhi,Maize,22.7,16.1,0.4,2643,0,1948
2023-01-07,Delhi,Maize,22.8,15.9,0.9,2723,0,2018
2023-01-08,Delhi,Maize,22.7,15.8,0.0,2735,0,2063
2023-01-09,Delhi,Maize,22.9,16.1,0.0,2812,0,2089
2023-01-10,Delhi,Maize,23.1,16.0,0.0,2846,1,2311
2023-01-11,Noida,Maize,21.2,16.0,0.0,1453,0,1068
2023-01-12,Noida,Maize,21.6,16.3,0.0,1499,0,1125
2023-01-13,Noida,Maize,21.6,16.2,1.4,1515,0,1115
2023-01-14,Noida,Maize,21.7,16.4,0.0,1572,0,1175
2023-01-15,Noida,Maize,22.0,16.2,1.2,1605,0,1204
2023-01-16,Noida,Maize,22.1,16.5,0.0,1596,0,1174
2023-01-17,Noida,Maize,22.0,15.9,0.0,1676,0,1246
2023-01-18,Noida,Maize,22.2,16.3,0.0,1689,0,1273
2023-01-19,Noida,Maize,22.3,16.3,0.0,1747,0,1315
2023-01-20,Noida,Maize,22.4,16.3,0.0,1760,1,1427
2023-01-21,Ghaziabad,Maize,21.0,16.4,0.0,1320,0,981
2023-01-22,Ghaziabad,Maize,21.0,16.1,0.0,1352,0,1019
2023-01-23,Ghaziabad,Maize,21.2,16.2,0.0,1364,0,1029
2023-01-24,Ghaziabad,Maize,21.3,16.2,0.0,1398,0,1035
2023-01-25,Ghaziabad,Maize,21.4,16.2,0.0,1448,0,1068
2023-01-26,Ghaziabad,Maize,21.6,16.3,0.0,1499,0,1109
2023-01-27,Ghaziabad,Maize,21.7,16.1,0.0,1534,0,1130
2023-01-28,Ghaziabad,Maize,21.8,16.7,0.0,1538,0,1132
2023-01-29,Ghaziabad,Maize,22.2,16.7,1.0,1592,0,1176
2023-01-30,Ghaziabad,Maize,22.0,16.1,0.0,1621,1,1310
